Id,Label,movies_credited,degree,weighted_degree
Alfred Enoch,Alfred Enoch,1,2,2
Jürgen Prochnow,Jürgen Prochnow,5,10,10
Seth Gabel,Seth Gabel,1,2,2
Jeffrey Garcia,Jeffrey Garcia,1,2,2
Miguel Ferrer,Miguel Ferrer,3,6,6
Rachel Crow,Rachel Crow,1,2,2
Aaron Stanford,Aaron Stanford,4,8,8
Bruce Davison,Bruce Davison,5,9,10
Paul Anderson,Paul Anderson,2,4,4
Alexa Davalos,Alexa Davalos,4,6,8
Marshall Bell,Marshall Bell,4,6,8
Rachel Ticotin,Rachel Ticotin,2,2,4
Ronny Cox,Ronny Cox,6,9,12
Clive Russell,Clive Russell,3,6,6
Vladimir Kulich,Vladimir Kulich,1,2,2
Scott Glenn,Scott Glenn,17,34,34
Stacy Keach,Stacy Keach,7,14,14
John Glover,John Glover,1,2,2
Michael Gough,Michael Gough,5,10,10
Clint Howard,Clint Howard,7,14,14
Molly Shannon,Molly Shannon,6,12,12
T.J. Thyne,T.J. Thyne,4,8,8
Dougray Scott,Dougray Scott,8,16,16
Bob Gunton,Bob Gunton,9,18,18
Karen Allen,Karen Allen,5,10,10
Mary Elizabeth Mastrantonio,Mary Elizabeth Mastrantonio,6,12,12
Ioan Gruffudd,Ioan Gruffudd,6,12,12
Suraj Sharma,Suraj Sharma,2,4,4
Tabu,Tabu,2,4,4
Matt Long,Matt Long,2,4,4
Peter Fonda,Peter Fonda,4,8,8
Ato Essandoh,Ato Essandoh,3,6,6
Riz Ahmed,Riz Ahmed,2,4,4
Demi Moore,Demi Moore,16,30,32
Justin Theroux,Justin Theroux,6,12,12
Melanie Griffith,Melanie Griffith,6,12,12
Nathan Lane,Nathan Lane,11,22,22
Christina Cox,Christina Cox,1,2,2
Abbie Cornish,Abbie Cornish,8,14,16
Jennifer Ehle,Jennifer Ehle,9,16,18
Kick Gurry,Kick Gurry,1,2,2
Nicholas Elia,Nicholas Elia,1,2,2
Scott Porter,Scott Porter,8,16,16
Domenick Lombardozzi,Domenick Lombardozzi,1,2,2
Shelley Conn,Shelley Conn,1,2,2
Teyonah Parris,Teyonah Parris,1,2,2
Marc Blucas,Marc Blucas,8,13,16
Zoë Bell,Zoë Bell,3,6,6
Hayden Christensen,Hayden Christensen,11,20,22
James Coburn,James Coburn,8,16,16
Rila Fukushima,Rila Fukushima,1,2,2
Tao Okamoto,Tao Okamoto,1,2,2
Ian McDiarmid,Ian McDiarmid,3,6,6
Alain Delon,Alain Delon,1,2,2
Santiago Segura,Santiago Segura,1,2,2
Vanessa Hessler,Vanessa Hessler,1,2,2
Noah Emmerich,Noah Emmerich,9,18,18
Roger Willie,Roger Willie,2,3,4
Danny Woodburn,Danny Woodburn,6,10,12
Jeremy Howard,Jeremy Howard,2,2,4
Noel Fisher,Noel Fisher,5,8,10
Amy Warren,Amy Warren,1,2,2
Basher Savage,Basher Savage,1,2,2
Phaldut Sharma,Phaldut Sharma,1,2,2
Grant Heslov,Grant Heslov,2,4,4
Jamie Renée Smith,Jamie Renée Smith,1,2,2
Stephen Amell,Stephen Amell,1,2,2
Reg E. Cathey,Reg E. Cathey,8,14,16
Tim Blake Nelson,Tim Blake Nelson,11,20,22
Tim Heidecker,Tim Heidecker,2,2,4
Archie Panjabi,Archie Panjabi,6,12,12
Joe Don Baker,Joe Don Baker,5,10,10
Vincent Schiavelli,Vincent Schiavelli,5,9,10
Adam Baldwin,Adam Baldwin,6,12,12
Julia Roberts,Julia Roberts,27,50,54
Mini Anden,Mini Anden,2,4,4
Stephanie March,Stephanie March,1,2,2
Mekhi Phifer,Mekhi Phifer,13,20,26
Theo James,Theo James,4,6,8
Adam Scott,Adam Scott,14,28,28
Frances Conroy,Frances Conroy,9,18,18
Catherine Tate,Catherine Tate,1,2,2
James Corden,James Corden,7,14,14
Olly Alexander,Olly Alexander,2,4,4
Chad L. Coleman,Chad L. Coleman,1,2,2
Dirk Benedict,Dirk Benedict,1,2,2
Dwight Schultz,Dwight Schultz,1,2,2
George Peppard,George Peppard,2,4,4
Sullivan Stapleton,Sullivan Stapleton,2,4,4
Madison McKinley,Madison McKinley,1,2,2
Mahadeo Shivraj,Mahadeo Shivraj,1,2,2
Tim Gunn,Tim Gunn,1,2,2
G.W. Bailey,G.W. Bailey,2,4,4
Roseanne Barr,Roseanne Barr,1,2,2
Olga Fonda,Olga Fonda,1,2,2
Torey Michael Adkins,Torey Michael Adkins,1,2,2
Jacob Tremblay,Jacob Tremblay,2,4,4
Nancy O'Dell,Nancy O'Dell,4,8,8
Vanessa Matsui,Vanessa Matsui,1,2,2
Jason Patric,Jason Patric,5,10,10
Lois Chiles,Lois Chiles,2,4,4
Aramis Knight,Aramis Knight,1,2,2
Moises Arias,Moises Arias,6,8,12
Cyril Raffaelli,Cyril Raffaelli,2,4,4
Jonathan Sadowski,Jonathan Sadowski,2,4,4
Billy Boyd,Billy Boyd,4,5,8
Cécile De France,Cécile De France,5,8,10
Kelly Preston,Kelly Preston,11,22,22
Spencer Breslin,Spencer Breslin,3,6,6
Chi McBride,Chi McBride,6,12,12
Philip Glenister,Philip Glenister,1,2,2
Chazz Palminteri,Chazz Palminteri,15,30,30
Jeffrey Jones,Jeffrey Jones,9,18,18
Anika Noni Rose,Anika Noni Rose,3,6,6
Jenifer Lewis,Jenifer Lewis,5,10,10
Benedict Wong,Benedict Wong,4,8,8
Donald Glover,Donald Glover,3,6,6
Mathew Buck,Mathew Buck,1,0,0
Del Zamora,Del Zamora,2,4,4
Warren Beatty,Warren Beatty,5,10,10
Robert Duvall,Robert Duvall,25,43,50
Connie Nielsen,Connie Nielsen,9,18,18
Oliver Reed,Oliver Reed,4,8,8
Frank Grillo,Frank Grillo,9,16,18
Jessica Capshaw,Jessica Capshaw,2,4,4
Ivana Milicevic,Ivana Milicevic,9,16,18
Tobias Menzies,Tobias Menzies,3,4,6
Erick Avari,Erick Avari,4,6,8
Estella Warren,Estella Warren,5,8,10
Jenette Goldstein,Jenette Goldstein,3,6,6
S. Epatha Merkerson,S. Epatha Merkerson,4,8,8
Denzel Washington,Denzel Washington,32,60,64
RZA,RZA,7,14,14
Ruby Dee,Ruby Dee,6,10,12
Jamie Lee Curtis,Jamie Lee Curtis,15,24,30
Tia Carrere,Tia Carrere,6,12,12
Tom Arnold,Tom Arnold,9,18,18
Michael Rispoli,Michael Rispoli,5,10,10
Blythe Danner,Blythe Danner,9,14,18
Robert De Niro,Robert De Niro,54,94,108
Teri Polo,Teri Polo,8,12,16
Derek Jeter,Derek Jeter,1,2,2
Roma Maffia,Roma Maffia,3,6,6
Vanessa Williams,Vanessa Williams,9,18,18
Bill Fagerbakke,Bill Fagerbakke,2,4,4
Jason Alexander,Jason Alexander,4,8,8
Eartha Kitt,Eartha Kitt,4,8,8
John Fiedler,John Fiedler,4,7,8
Wendie Malick,Wendie Malick,4,8,8
Sylvester Stallone,Sylvester Stallone,27,47,54
Annie Parisse,Annie Parisse,2,4,4
Armando Riesco,Armando Riesco,5,9,10
Ed Speleers,Ed Speleers,2,4,4
Gary Lewis,Gary Lewis,3,6,6
Catherine O'Hara,Catherine O'Hara,14,26,28
Max Records,Max Records,1,2,2
Ryan Corr,Ryan Corr,2,4,4
Emma Kenney,Emma Kenney,1,2,2
Troy Evans,Troy Evans,3,6,6
Rufus Sewell,Rufus Sewell,13,20,26
Mark Margolis,Mark Margolis,12,22,24
Udo Kier,Udo Kier,12,23,24
Stephen Collins,Stephen Collins,4,8,8
Debi Mazar,Debi Mazar,9,17,18
Rene Auberjonois,Rene Auberjonois,2,4,4
Jake Busey,Jake Busey,9,18,18
Patrick Muldoon,Patrick Muldoon,2,4,4
Seth Gilliam,Seth Gilliam,3,6,6
Jim Sturgess,Jim Sturgess,7,12,14
Anthony LaPaglia,Anthony LaPaglia,4,8,8
Alex Borstein,Alex Borstein,5,10,10
Christopher Heyerdahl,Christopher Heyerdahl,4,6,8
Ingrid Bolsø Berdal,Ingrid Bolsø Berdal,4,6,8
Michael Wincott,Michael Wincott,11,19,22
Anna Friel,Anna Friel,4,8,8
Bobb'e J. Thompson,Bobb'e J. Thompson,4,8,8
Ben Stein,Ben Stein,1,2,2
Jamie Kennedy,Jamie Kennedy,7,13,14
Traylor Howard,Traylor Howard,2,4,4
Benjamin Walker,Benjamin Walker,2,4,4
Frank Dillane,Frank Dillane,1,2,2
Burt Young,Burt Young,5,10,10
Randy Quaid,Randy Quaid,7,14,14
Igal Naor,Igal Naor,1,2,2
Sean Huze,Sean Huze,1,2,2
Bill Melendez,Bill Melendez,2,4,4
Francesca Capaldi,Francesca Capaldi,1,2,2
Venus Schultheis,Venus Schultheis,1,2,2
Ben Gazzara,Ben Gazzara,5,10,10
Campbell Scott,Campbell Scott,6,10,12
Felicity Huffman,Felicity Huffman,4,8,8
Patricia Velasquez,Patricia Velasquez,1,2,2
Ni Ni,Ni Ni,1,2,2
Shigeo Kobayashi,Shigeo Kobayashi,1,2,2
Jon Heder,Jon Heder,9,18,18
Zooey Deschanel,Zooey Deschanel,19,36,38
Jon Lovitz,Jon Lovitz,14,23,28
Roger Bart,Roger Bart,1,2,2
Katherine LaNasa,Katherine LaNasa,2,4,4
Thomas Middleditch,Thomas Middleditch,1,2,2
Milla Jovovich,Milla Jovovich,19,33,38
Chris Noth,Chris Noth,6,11,12
Kristin Davis,Kristin Davis,6,11,12
