node,degree,betweenness,eigenvector
Frank Welker,16,0.0002805661985676158,0.01649684014820941
Will Patton,16,0.000411092863049441,0.019687496626564147
Ed Begley Jr.,16,0.00022010031879078238,0.010340140895332492
Dorian Missick,16,0.0001920353108461498,0.04379286563774978
Beth Grant,16,0.00023544090463494493,0.016008337974228383
Kieran Culkin,16,0.00023561864091164097,0.013120988890858958
Dougray Scott,16,0.00022987972005891134,0.01900548104921505
Julian Sands,16,0.0009762563359689982,0.006643089561794047
Sally Hawkins,16,0.00011252420522711973,0.010226374871742815
Seymour Cassel,16,0.0008060711775407342,0.012277824535575282
Joe Lo Truglio,16,0.00031606654222757484,0.007264881054830324
Brian Dennehy,16,0.00020543378778960336,0.018485386252391798
Zoë Kravitz,16,0.00028675249473341573,0.015504360078851462
James Coburn,16,0.0009927968452509072,0.017452351979077838
Donald Pleasence,16,0.00036370355821461055,0.0033947699032625244
Ivana Milicevic,16,0.0002448992497181093,0.014529829096316504
Peter Gallagher,16,0.0002454073188553371,0.017066359505468205
Frank Grillo,16,0.00014284492625572624,0.025220606954194473
Mary Lynn Rajskub,16,0.00016835970956149897,0.017970630034271975
Jon Hamm,16,0.0004926280600098455,0.019114137945030085
Scott Porter,16,0.00024942500224281895,0.005100594260547092
F. Murray Abraham,16,0.0007627201500859894,0.024947082194045622
Jennifer Ehle,16,0.00011410291382754639,0.023278532506525573
Alan Ruck,16,0.0001994891807006358,0.01791462457082929
Faye Dunaway,16,0.00012073633002173548,0.028859629299752255
M. Emmet Walsh,16,0.0006563814720544072,0.011856277262894841
Alexander Skarsgård,16,0.0002191806133805231,0.03233802089485321
Kevin McNally,16,0.0005959057169903157,0.014885276526556763
Hector Elizondo,16,0.00010898027949026675,0.0246141814766726
Christopher Lambert,16,0.00026406655272432505,0.009353606725303523
Edgar Ramírez,16,0.00015633757836211308,0.03531511976236093
Costas Mandylor,16,0.0007377991481956355,0.012444776632662304
Kevin Zegers,16,0.00023261537080261318,0.01111443894031332
Alyson Hannigan,16,0.0002644421243046202,0.01155889087875678
Ty Burrell,16,0.00014581007732513923,0.021051737727539866
Glenn Morshower,15,0.00027279016459649146,0.015772146114298013
Sarah Polley,15,0.0003975368142880586,0.015427805122931381
Norman Reedus,15,0.0001697620519432219,0.022700219269110075
Charles S. Dutton,15,0.00018784511545249074,0.025496141345441328
Imelda Staunton,15,0.0002254748391994195,0.019002996703597907
Wayne Knight,15,0.0005625402180297487,0.029969345747648476
Boris Kodjoe,15,0.0001559917467575681,0.017860039833208954
Rene Russo,15,0.0001728722417646716,0.03501872232999591
Denis O'Hare,15,0.000244280114131763,0.031367519274418
Harry Connick Jr.,15,0.00034721338709053673,0.03588256082866859
Daniel Radcliffe,15,0.0002818523657937472,0.029104366645579374
Kevin Dunn,15,0.00034739775577615,0.03442545299867318
Orlando Bloom,15,0.0001954064586993401,0.061950300042392374
Sanaa Lathan,15,0.0003204539498162154,0.022018432685840705
Jordi Mollà,15,9.283976223573484e-05,0.028880135011548836
David Carradine,14,0.00023071546870550146,0.025390301712270275
Josh Gad,14,0.00027880082703918464,0.017421159280114507
Reg E. Cathey,14,0.0002222014333332853,0.031673877512337356
Sarah Silverman,14,0.0001246688706440621,0.010180480703150127
Kevin Corrigan,14,0.00026428742321258643,0.008337445853266259
Sela Ward,14,0.00028817254519329584,0.012744146599910045
Scoot McNairy,14,0.00015808070257489087,0.010715646140443435
Bill Duke,14,0.00023069273138415239,0.008074708109726098
Debra Messing,14,0.00034982071646911996,0.016557588105198924
Abbie Cornish,14,0.0001076059760053288,0.020740367032102358
Mo'Nique,14,0.00014847386486901613,0.0077592928819771815
Gretchen Mol,14,0.0002865461180617312,0.01828737112345047
Mark Webber,14,0.00016979803193714504,0.011091181370893117
RZA,14,0.00019432068885208068,0.017240991979425392
Blythe Danner,14,0.00018713456068090298,0.03970175436018138
Randy Quaid,14,7.840539899553253e-05,0.028457994541045962
Tina Fey,14,0.00012541991256548375,0.012438673722036993
America Ferrera,14,0.0002155917155884264,0.015417166762389177
Paddy Considine,14,0.00019078551787555972,0.006839221856658151
James Corden,14,0.0004968317585897478,0.012118882188756081
Mike Vogel,14,0.00022177468852819924,0.011225426137511565
Ellen Barkin,14,0.00013553312107980603,0.03460997263990948
Nate Parker,14,0.0003081664562069675,0.01165855581691138
Kurtwood Smith,14,0.0001882088575796137,0.01501237453721385
Rainn Wilson,14,9.756500575553179e-05,0.03578414302937524
Eddie Redmayne,14,9.694494061158126e-05,0.02223438511747909
Stacy Keach,14,0.0006988095734577498,0.010833746580685076
Clint Howard,14,0.00010853190538524554,0.016943587450456255
Roger Rees,14,0.0003029404846770072,0.014768734211564122
Paul Guilfoyle,14,0.0002513366291401238,0.0197582746389673
Daniel von Bargen,14,0.00019879989965747733,0.01548663454657203
Elden Henson,14,0.0003216039281676105,0.005007001965559919
Kevin Sussman,14,0.00015803095853022698,0.02569744810233725
Tom Everett Scott,14,0.00010728078173279952,0.011293820595802431
Timothy Hutton,14,0.00021906559351528483,0.01492452778179633
Catherine Deneuve,14,0.0004940351310237248,0.0017855046753721057
Sophie Okonedo,14,0.0002365835564412823,0.024658899799889243
Noel Gugliemi,14,0.00017004410486325247,0.026813198053549408
Xander Berkeley,14,0.00015457432930530136,0.013502094652187178
Curtis Armstrong,14,0.0002453728425973988,0.009536609176167105
Blair Underwood,14,0.00010662287513746953,0.010633958394696864
Amber Valletta,14,0.00027075555847151753,0.01062971199318033
Cicely Tyson,14,9.07287874335423e-05,0.0034518658240329974
Ewen Bremner,14,0.00029724050132432113,0.02539185940357273
Albert Finney,14,0.00029339205241977237,0.02717024476516687
Alison Lohman,14,0.0003092954436848533,0.018309086332300627
Rory Culkin,14,7.259221007676174e-05,0.011302823824737079
Chris Klein,14,0.00022706819710185993,0.011997244822173531
Peter Boyle,14,0.0001491343031379606,0.02000028292894898
Lena Olin,14,0.0004239466113073139,0.02097901065411866
Derek Jacobi,14,0.0001221960048725224,0.01779466691974952
Sean Pertwee,14,0.00014882407762500878,0.009426707026664581
Jason Ritter,14,0.00033360831998243193,0.006639112819691753
Eddie Cibrian,14,0.00013763870335032277,0.008804850838706833
Derek Luke,14,0.0006173784568372017,0.012762263401479314
Michael Jeter,14,0.00017855320393486658,0.02485411287040852
Danny Huston,14,0.00011730902493481482,0.012023833178974047
Amy Sedaris,14,8.508158423907504e-05,0.017828245989003177
CCH Pounder,14,0.00020972193288758403,0.014074606132659763
Henry Cavill,14,0.0005664751115448981,0.01123859512095524
Stephen Graham,13,0.00018013850609727557,0.02350363116711316
Snoop Dogg,13,0.0001655226506058259,0.011519427616074275
John Gielgud,13,9.692532712748927e-05,0.006903361951135749
Bridget Fonda,13,0.00023239371770962194,0.018542908582451972
George Carlin,13,0.00019788140524325926,0.021967375779763335
Stephen McHattie,13,0.00039065239501163035,0.0024005216348283493
Monica Potter,13,0.0002474826519207556,0.030778640123666375
John Witherspoon,13,0.0002182705971203545,0.009831839276620452
Linda Cardellini,13,7.604916884358751e-05,0.009184534501005787
Marc Blucas,13,0.00012826816226264894,0.017586020506599933
Martin Short,13,0.00033736685186632555,0.01086985679171164
