actor,n_movies,imdb_mean,imdb_max,votes_mean,votes_max,genre_span,career_span_years
JoAnna Garcia Swisher,1,5.7,5.7,80305.0,80305.0,1,0.0
William Petersen,2,6.3,7.0,23647.5,26846.0,4,0.0
Claude Rains,3,8.4,8.6,219225.0,387508.0,7,23.0
Martha MacIsaac,2,6.6,6.6,67823.0,67824.0,3,0.0
André the Giant,1,8.1,8.1,294163.0,294163.0,4,0.0
Russ Tamblyn,1,7.8,7.8,431578.0,431578.0,2,0.0
Kali Rocha,1,6.0,6.0,15582.0,15582.0,3,0.0
Ser'Darius Blain,1,6.7,6.7,12596.0,12596.0,3,0.0
Jessie T. Usher,1,6.7,6.7,12596.0,12596.0,3,0.0
Luke Benward,1,6.4,6.4,8427.0,8427.0,3,0.0
Mitchell Ryan,2,6.15,7.4,47081.0,73347.0,6,2.0
Kurt Loder,1,4.0,4.0,28964.0,28964.0,5,0.0
Erica Leerhsen,1,4.0,4.0,28964.0,28964.0,5,0.0
Kim Director,1,4.0,4.0,28964.0,28964.0,5,0.0
Rachel True,2,6.35,6.5,30351.0,57140.0,5,4.0
Brenda Strong,3,6.566666666666667,6.9,19512.333333333332,57140.0,6,9.0
Hutch Dano,1,6.7,6.7,13874.0,13874.0,4,0.0
Jason Spevack,1,6.7,6.7,13874.0,13874.0,4,0.0
Sierra McCormick,1,6.7,6.7,13874.0,13874.0,4,0.0
Nicole Ari Parker,2,7.2,7.9,96272.5,189032.0,3,2.0
Nina Hartley,1,7.9,7.9,189032.0,189032.0,1,0.0
Joss Ackland,1,5.5,5.5,17074.0,17074.0,5,0.0
Danny Pino,3,6.933333333333334,7.9,5804.0,8369.0,8,1.0
Joey Lawrence,1,4.1,4.1,13048.0,13048.0,3,0.0
Firass Dirani,1,4.7,4.7,27486.0,27486.0,3,0.0
Cinda McCain,2,6.1,6.3,7627.0,14814.0,2,0.0
Angelo Anthony Pizza,1,7.3,7.3,187170.0,187170.0,3,0.0
Akie Kotabe,1,6.3,6.3,50056.0,50056.0,3,0.0
Geneviève Bujold,1,4.9,4.9,13320.0,13320.0,3,0.0
Jason Priestley,3,5.733333333333333,7.1,5810.333333333333,13320.0,4,16.0
George C. Scott,4,7.625,8.5,126160.0,342585.0,9,23.0
Nina Hoss,1,6.8,6.8,57210.0,57210.0,3,0.0
Homayoun Ershadi,1,6.8,6.8,57210.0,57210.0,3,0.0
Cam Clarke,1,5.7,5.7,2037.0,2037.0,4,0.0
Phil Vischer,2,6.15,6.6,2586.0,3135.0,6,6.0
Yuri Lowenthal,1,5.7,5.7,2037.0,2037.0,4,0.0
Larry Mullen Jr.,1,8.4,8.4,2673.0,2673.0,2,0.0
The Edge,1,8.4,8.4,2673.0,2673.0,2,0.0
Adrian Paul,1,4.6,4.6,16340.0,16340.0,4,0.0
Adam Copeland,1,4.6,4.6,16340.0,16340.0,4,0.0
Kevin Gage,3,6.166666666666667,7.2,9104.333333333334,19768.0,6,14.0
Sandra Nelson,1,6.6,6.6,9649.0,9649.0,4,0.0
Keith Allen,2,6.25,6.6,8584.0,9649.0,7,3.0
Kyla Pratt,1,2.8,2.8,2724.0,2724.0,2,0.0
Shirley Douglas,1,2.8,2.8,2724.0,2724.0,2,0.0
Daniel Wu,2,6.25,7.1,31324.0,53471.0,4,3.0
Nicole de Boer,2,7.4,7.5,83816.5,160511.0,5,0.0
Chris Bruno,1,7.5,7.5,7122.0,7122.0,4,
Michael Michele,1,6.6,6.6,17261.0,17261.0,4,0.0
Khandi Alexander,4,6.475,7.5,17198.0,39508.0,4,9.0
Dan Futterman,3,6.766666666666667,7.0,11199.0,24150.0,8,10.0
Marla Sokoloff,2,5.5,5.5,62340.0,116625.0,4,0.0
Estelle Parsons,2,7.4,7.4,1465.0,1465.0,2,0.0
Anna Madeley,1,8.0,8.0,307639.0,307639.0,3,0.0
Eric Godon,1,8.0,8.0,307639.0,307639.0,3,0.0
Elizabeth Berrington,1,8.0,8.0,307639.0,307639.0,3,0.0
Diahann Carroll,3,5.766666666666667,7.3,3774.0,6915.0,8,19.0
Conleth Hill,1,7.2,7.2,58967.0,58967.0,2,0.0
Guillermo Arriaga,1,7.5,7.5,34194.0,34194.0,5,0.0
Corbin Bernsen,6,6.616666666666667,8.4,49549.0,175962.0,7,21.0
Chris Geere,1,5.5,5.5,15388.0,15388.0,4,0.0
Anna Silk,1,7.9,7.9,3828.0,3828.0,3,
Mac McDonald,1,6.7,6.7,42792.0,42792.0,4,0.0
Mike Muscat,1,5.3,5.3,4996.0,4996.0,3,0.0
Thomas Stroppel,1,5.6,5.6,1933.0,1933.0,3,0.0
Amber Marie Bollinger,1,5.6,5.6,1933.0,1933.0,3,0.0
Kalim Chandler,1,5.6,5.6,1933.0,1933.0,3,0.0
Gustav Fröhlich,1,8.3,8.3,111841.0,111841.0,2,0.0
Rudolf Klein-Rogge,1,8.3,8.3,111841.0,111841.0,2,0.0
Brigitte Helm,1,8.3,8.3,111841.0,111841.0,2,0.0
Dany Verissimo-Petit,1,7.2,7.2,55928.0,55928.0,3,0.0
Satoshi Tsumabuki,1,6.4,6.4,9427.0,9427.0,2,0.0
Konstantin Lavronenko,1,8.0,8.0,31589.0,31589.0,3,0.0
Vladimir Garin,1,8.0,8.0,31589.0,31589.0,3,0.0
Nataliya Vdovina,1,8.0,8.0,31589.0,31589.0,3,0.0
Sarunyu Wongkrachang,2,6.4,6.6,13118.0,24570.0,5,7.0
Petchtai Wongkamlao,1,6.2,6.2,24570.0,24570.0,1,0.0
Nirut Sirichanya,1,6.2,6.2,24570.0,24570.0,1,0.0
JJ Feild,2,6.7,7.0,34896.5,64777.0,6,9.0
Conrad Dunn,1,5.6,5.6,2699.0,2699.0,3,0.0
Gina Bellman,1,5.6,5.6,2699.0,2699.0,3,0.0
Aubrey Poo,1,6.0,6.0,609.0,609.0,3,0.0
Edward Fox,1,4.5,4.5,2236.0,2236.0,4,0.0
Gael Le Cornec,1,5.9,5.9,7519.0,7519.0,5,0.0
Hans Matheson,2,5.9,6.0,2134.5,3425.0,5,5.0
Steven Elder,1,4.9,4.9,5018.0,5018.0,3,0.0
Lucy Gaskell,1,4.9,4.9,5018.0,5018.0,3,0.0
Ferdinando Vetere,1,5.7,5.7,80.0,80.0,1,0.0
Rodrigo De la Serna,1,5.7,5.7,80.0,80.0,1,0.0
Maximilian Dirr,1,5.7,5.7,80.0,80.0,1,0.0
Yasuaki Kurata,1,7.1,7.1,9177.0,9177.0,4,0.0
Linus Roache,2,5.25,6.6,492.0,695.0,3,12.0
Arben Bajraktaraj,1,7.5,7.5,12937.0,12937.0,2,0.0
Bart Shatto,1,6.2,6.2,993.0,993.0,3,0.0
Sharon Leal,2,5.7,6.2,3484.0,5975.0,4,0.0
Jean-Marc Barr,1,7.4,7.4,18646.0,18646.0,1,0.0
Jeremy Davies,4,7.199999999999999,7.4,55670.75,106098.0,6,11.0
Saurabh Shukla,1,8.0,8.0,641997.0,641997.0,2,0.0
Ayush Mahesh Khedekar,1,8.0,8.0,641997.0,641997.0,2,0.0
Anil Kapoor,2,6.4,8.0,321760.5,641997.0,3,3.0
Lois Smith,3,7.066666666666666,7.6,43742.0,73193.0,5,12.0
Joe Flaherty,2,8.1,9.5,11763.0,23516.0,6,0.0
John Meillon,1,5.5,5.5,44096.0,44096.0,3,0.0
Chad Bishop,1,5.7,5.7,1554.0,1554.0,5,0.0
Malik Yoba,2,7.35,7.8,48575.5,69733.0,6,0.0
Jensen Ackles,2,6.45,7.4,35466.0,45603.0,6,0.0
Barbara Bach,1,7.1,7.1,76477.0,76477.0,4,0.0
Caroline Munro,1,7.1,7.1,76477.0,76477.0,4,0.0
Amy Bruni,1,6.6,6.6,5563.0,5563.0,1,
Steve Gonsalves,1,6.6,6.6,5563.0,5563.0,1,
Jason Hawes,1,6.6,6.6,5563.0,5563.0,1,
Susan Hogan,1,6.7,6.7,15730.0,15730.0,2,0.0
Olivia Colman,1,6.4,6.4,82327.0,82327.0,3,0.0
Shelby Vischer,1,6.6,6.6,3135.0,3135.0,6,0.0
Mike Nawrocki,1,6.6,6.6,3135.0,3135.0,6,0.0
Maya Angelou,1,5.9,5.9,8904.0,8904.0,2,0.0
Gino Salvano,1,5.7,5.7,9693.0,9693.0,4,0.0
Roger Guenveur Smith,1,5.7,5.7,9693.0,9693.0,4,0.0
Allen Payne,1,4.5,4.5,17262.0,17262.0,4,0.0
Linda Blair,2,5.85,8.0,150273.0,284252.0,1,4.0
Lance Gross,1,4.9,4.9,5721.0,5721.0,2,0.0
Paolo Seganti,1,6.9,6.9,9323.0,9323.0,3,0.0
Bethany Joy Lenz,1,5.7,5.7,19805.0,19805.0,2,0.0
Eliza Coupe,2,5.9,6.3,7560.5,13866.0,3,5.0
Kane Hodder,6,4.933333333333334,5.7,21021.333333333332,38985.0,7,26.0
Lexa Doig,1,4.4,4.4,38985.0,38985.0,4,0.0
China Chow,1,5.4,5.4,11693.0,11693.0,3,0.0
Osric Chau,1,5.4,5.4,11233.0,11233.0,2,0.0
Isaach De Bankolé,1,8.0,8.0,89906.0,89906.0,2,0.0
Emmanuelle Seigner,1,8.0,8.0,89906.0,89906.0,2,0.0
Jane Adams,3,7.233333333333333,7.6,33080.0,92781.0,4,14.0
Noam Jenkins,1,5.9,5.9,12519.0,12519.0,3,0.0
Tovah Feldshuh,1,6.6,6.6,6782.0,6782.0,1,0.0
Bonnie Henna,1,6.7,6.7,9334.0,9334.0,3,0.0
Melissa Sagemiller,1,3.9,3.9,7277.0,7277.0,4,0.0
Candace Kroslak,1,3.9,3.9,7277.0,7277.0,4,0.0
Angela Featherstone,2,5.45,7.0,9821.5,12366.0,6,3.0
Nigel Whitmey,1,5.7,5.7,2427.0,2427.0,4,0.0
Todd Boyce,1,5.7,5.7,2427.0,2427.0,4,0.0
Behrouz Vossoughi,1,6.5,6.5,524.0,524.0,3,0.0
Ruth Sheen,2,7.199999999999999,7.6,13047.0,17933.0,3,12.0
Karl Johnson,1,6.8,6.8,17933.0,17933.0,3,0.0
Edouard Baer,2,6.6,6.9,2306.5,3174.0,5,8.0
Sara Forestier,2,6.75,7.2,4739.0,6304.0,3,1.0
Ulrich Mühe,2,7.9,8.5,135228.0,259379.0,5,4.0
Woo-sung Jung,2,7.1,7.3,16112.5,26156.0,4,2.0
Kelly Lin,1,6.9,6.9,6069.0,6069.0,1,0.0
John Gallagher Jr.,2,6.9,7.3,69473.0,126893.0,5,5.0
Diora Baird,1,3.6,3.6,9928.0,9928.0,2,0.0
Elisa Donovan,1,6.8,6.8,123390.0,123390.0,2,0.0
Krystyna Janda,2,9.1,9.1,12590.5,12591.0,1,
Olgierd Lukaszewicz,2,9.1,9.1,12590.5,12591.0,1,
Olaf Lubaszenko,2,9.1,9.1,12590.5,12591.0,1,
Amelia Warner,1,7.4,7.4,44795.0,44795.0,2,0.0
Stephen Marcus,1,7.4,7.4,44795.0,44795.0,2,0.0
Jacek Koman,1,7.4,7.4,271.0,271.0,4,
Jaroslaw Boberek,1,7.4,7.4,271.0,271.0,4,
Marian Dziedziel,1,7.4,7.4,271.0,271.0,4,
Bruno Ganz,1,8.3,8.3,248354.0,248354.0,4,0.0
Belén Rueda,2,7.8,8.1,92372.5,120189.0,5,3.0
Lola Dueñas,2,7.85,8.1,70618.5,76681.0,6,2.0
Tamar Novas,1,8.1,8.1,64556.0,64556.0,3,0.0
Paul Brannigan,1,6.3,6.3,85022.0,85022.0,4,0.0
Alison Chand,1,6.3,6.3,85022.0,85022.0,4,0.0
Stephanie Danielson,1,3.6,3.6,912.0,912.0,1,0.0
Boys II Men,1,1.6,1.6,74351.0,74351.0,2,0.0
Sean Kingston,1,1.6,1.6,74351.0,74351.0,2,0.0
Fredro Starr,2,5.199999999999999,6.1,23964.5,47876.0,4,14.0
Tuesday Knight,1,5.7,5.7,36108.0,36108.0,3,0.0
Rodney Eastman,1,5.7,5.7,36108.0,36108.0,3,0.0
Brooke Bundy,1,5.7,5.7,36108.0,36108.0,3,0.0
Brighton Sharbino,3,7.266666666666667,8.2,6393.333333333333,12796.0,6,3.0
Patrick Wayne,1,6.8,6.8,42614.0,42614.0,5,0.0
Andrew Keegan,3,6.533333333333334,7.2,85588.33333333333,222099.0,4,2.0
Gene Simmons,1,5.9,5.9,28805.0,28805.0,1,0.0
Sedona Legge,1,6.8,6.8,12983.0,12983.0,3,0.0
Antonio Sabato Jr.,1,6.1,6.1,24834.0,24834.0,4,0.0
Charlotte Sullivan,3,6.233333333333333,6.8,14519.0,31836.0,5,13.0
Greg Germann,3,5.333333333333333,5.9,17662.0,31371.0,7,24.0
Jenny Agutter,3,5.766666666666667,6.8,23820.333333333332,39847.0,6,36.0
Henry Simmons,2,6.25,6.9,22320.0,31964.0,4,5.0
Kate del Castillo,4,5.925000000000001,7.5,8615.0,14831.0,5,7.0
