Id,Label,movies_credited,degree,weighted_degree
Elizabeth Daily,,6,11,12
Joan Allen,Joan Allen,11,21,22
Oksana Akinshina,,2,4,4
Dean Stockwell,,5,10,10
Elliott Gould,,2,4,4
Fred Tatasciore,,1,2,2
Jeff Bennett,,1,2,2
Teala Dunn,,1,2,2
Caroline Dhavernas,,4,8,8
Hettienne Park,,1,2,2
Scott Thompson,,1,2,2
Jim Carter,,3,6,6
Gabourey Sidibe,,5,8,10
Sarah Parish,,1,2,2
Lisa Bonet,,2,4,4
Hunter Parrish,,6,12,12
Meryl Streep,Meryl Streep,26,49,52
Zoe Kazan,,5,10,10
Al Pacino,Al Pacino,21,39,42
Debra Messing,,7,14,14
Jane Krakowski,,6,12,12
Bob Hoskins,Bob Hoskins,16,32,32
Clemens Schick,,2,4,4
Gabriel Thomson,,1,2,2
F. Murray Abraham,,8,16,16
Tom Noonan,,5,10,10
Karl Yune,,1,2,2
Li Gong,,6,12,12
Amber Stevens West,,2,4,4
Nikki Griffin,,1,2,2
Zachery Ty Bryan,,1,2,2
Imelda Staunton,,8,15,16
Michael Palin,,3,6,6
Jsu Garcia,,1,2,2
Raymond Cruz,,5,10,10
Rick Worthy,,1,2,2
Ben Vereen,,2,4,4
Max Wright,,1,2,2
Roy Scheider,,6,9,12
Anna Kendrick,Anna Kendrick,15,26,30
Ellen Wong,,1,2,2
Kieran Culkin,,8,16,16
Rekha Sharma,,1,2,2
Tchéky Karyo,,4,8,8
Chris Elliott,,4,8,8
Janet Jackson,,2,4,4
Larry Miller,Larry Miller,10,20,20
Linda Cardellini,,7,13,14
Miguel A. Núñez Jr.,,1,2,2
Sarah Michelle Gellar,Sarah Michelle Gellar,12,23,24
Jason Cope,,4,6,8
Rakie Ayola,,2,2,4
Wood Harris,,3,4,6
Cameron Monaghan,,2,4,4
Julie Kavner,,3,6,6
Adrienne Barbeau,,4,6,8
Hal Holbrook,,11,18,22
Ted Danson,,6,10,12
Katt Williams,,2,4,4
Tom Hulce,,2,4,4
Brian Steele,,2,4,4
Iván Kamarás,,1,2,2
Seth MacFarlane,,5,9,10
Anthony Edwards,,3,6,6
Michael Rapaport,Michael Rapaport,16,32,32
Vanessa Redgrave,Vanessa Redgrave,11,22,22
Anthony Reynolds,,2,4,4
Mason Lee,,1,2,2
Mike Tyson,,3,6,6
Andrew Bryniarski,,2,4,4
David Ogden Stiers,,4,8,8
